#spaceCode,spaceNo,spaceContent,spaceUsed,spaceType,isBook,devCode,lastSpaceCode,issave,parkCode
303001,undefined,泊位001,2002,5803,102,303001,303136,1,0001_000037
303003,undefined,泊位003,2002,5803,102,303003,303136,1,0001_000037
303005,undefined,泊位005,2002,5803,102,303005,303136,1,0001_000037
303007,undefined,泊位007,2002,5803,102,303007,303136,1,0001_000037
303009,undefined,泊位009,2002,5803,102,303009,303136,1,0001_000037
303011,undefined,泊位011,2002,5803,102,303011,303136,1,0001_000037
303002,undefined,泊位002,2002,5803,102,303002,303136,1,0001_000038
303004,undefined,泊位004,2002,5803,102,303004,303136,1,0001_000038
303006,undefined,泊位006,2002,5803,102,303006,303136,1,0001_000038
303008,undefined,泊位008,2002,5803,102,303008,303136,1,0001_000038
303010,undefined,泊位010,2002,5803,102,303010,303136,1,0001_000038
303012,undefined,泊位012,2002,5803,102,303012,303136,1,0001_000038
303014,undefined,泊位014,2002,5803,102,303014,303136,1,0001_000038
303016,undefined,泊位016,2002,5803,102,303016,303136,1,0001_000038
303018,undefined,泊位018,2002,5803,102,303018,303136,1,0001_000038
303020,undefined,泊位020,2002,5803,102,303020,303136,1,0001_000038
303022,undefined,泊位022,2002,5803,102,303022,303136,1,0001_000038
